"","Barack ObamaDemocratic","","","Mitt RomneyRepublican","","","Gary JohnsonLibertarian","","","Jill SteinGreen","","","Others","","","Margin","","Total",""
"State/District","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","#",""
"","","","","","","","","","","","","","","","","","","",""
"Oklahoma https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Oklahoma.svg/23px-Flag_of_Oklahoma.svg.png","443,547","33.23%","–","891,325","66.77%","7","–","–","–","–","–","–","–","–","–","−447,778","−33.44%","1,334,872","OK"
"Oregon https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Oregon.svg/23px-Flag_of_Oregon.svg.png","970,488","54.24%","7","754,175","42.15%","–","24,089","1.4%","–","19,427","1.1%","–","21,091","1.2%","–","216,313","12.09%","1,789,270","OR"
"Pennsylvania https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Pennsylvania.svg/21px-Flag_of_Pennsylvania.svg.png","2,990,274","51.97%","20","2,680,434","46.59%","–","49,991","0.9%","–","21,341","0.4%","–","11,630","0.2%","–","309,840","5.38%","5,753,670","PA"
"Rhode Island https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Rhode_Island.svg/19px-Flag_of_Rhode_Island.svg.png","279,677","62.70%","4","157,204","35.24%","–","4,388","1.0%","–","2,421","0.5%","–","2,359","0.5%","–","122,473","27.46%","446,049","RI"
"South Carolina https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_South_Carolina.svg/23px-Flag_of_South_Carolina.svg.png","865,941","44.09%","–","1,071,645","54.56%","9","16,321","0.8%","–","5,446","0.3%","–","4,765","0.2%","–","−205,704","−10.47%","1,964,118","SC"
"South Dakota https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_South_Dakota.svg/23px-Flag_of_South_Dakota.svg.png","145,039","39.87%","–","210,610","57.89%","3","5,795","1.6%","–","–","–","–","2,371","0.7%","–","−65,571","−18.02%","363,815","SD"
"Tennessee https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Tennessee.svg/23px-Flag_of_Tennessee.svg.png","960,709","39.08%","–","1,462,330","59.48%","11","18,623","0.8%","–","6,515","0.3%","–","10,400","0.4%","–","−501,621","−20.40%","2,458,577","TN"
"Texas https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Texas.svg/23px-Flag_of_Texas.svg.png","3,308,124","41.38%","–","4,569,843","57.17%","38","88,580","1.1%","–","24,657","0.3%","–","2,647","nil","–","−1,261,719","−15.79%","7,993,851","TX"
"Utah https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Utah.svg/23px-Flag_of_Utah.svg.png","251,813","24.69%","–","740,600","72.62%","6","12,572","1.2%","–","3,817","0.4%","–","8,638","0.9%","–","−488,787","−47.93%","1,017,440","UT"
"Vermont https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Vermont.svg/23px-Flag_of_Vermont.svg.png","199,239","66.57%","3","92,698","30.97%","–","3,487","1.2%","–","594","0.2%","–","3,272","1.1%","–","106,541","35.60%","299,290","VT"
"Virginia https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Virginia.svg/23px-Flag_of_Virginia.svg.png","1,971,820","51.16%","13","1,822,522","47.28%","–","31,216","0.8%","–","8,627","0.2%","–","20,304","0.5%","–","149,298","3.88%","3,854,489","VA"
"Washington https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Washington.svg/23px-Flag_of_Washington.svg.png","1,755,396","56.16%","12","1,290,670","41.29%","–","42,202","1.4%","–","20,928","0.7%","–","16,320","0.5%","–","464,726","14.87%","3,125,516","WA"
"West Virginia https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_West_Virginia.svg/23px-Flag_of_West_Virginia.svg.png","238,269","35.54%","–","417,655","62.30%","5","6,302","0.9%","–","4,406","0.7%","–","3,806","0.6%","–","−179,386","−26.76%","670,438","WV"
"Wisconsin[123] https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_Wisconsin.svg/23px-Flag_of_Wisconsin.svg.png","1,620,985","52.83%","10","1,407,966","45.89%","–","20,439","0.7%","–","7,665","0.3%","–","11,379","0.4%","–","213,019","6.94%","3,068,434","WI"
"Wyoming https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Wyoming.svg/22px-Flag_of_Wyoming.svg.png","69,286","27.82%","–","170,962","68.64%","3","5,326","2.1%","–","–","–","–","3,487","1.4%","–","−101,676","−40.82%","249,061","WY"
"U.S. Total","65,915,795","51.06%","332","60,933,504","47.20%","206","1,275,971","1.0%","–","469,627","0.4%","–","490,510","0.4%","–","4,982,291","3.86%","129,085,410","US"
